id,title,description,year
1,The Shawshank Redemption,Two imprisoned men build a lasting friendship while hoping for freedom.,1994
2,The Godfather,An aging crime boss prepares his reluctant son for power.,1972
3,The Dark Knight,Batman confronts a chaotic criminal mastermind in Gotham.,2008
4,Pulp Fiction,Interwoven crime stories unfold across Los Angeles.,1994
5,Forrest Gump,A kind man witnesses major moments in modern history.,1994
6,Inception,A skilled thief enters dreams to perform an impossible job.,2010
7,Fight Club,An insomniac joins an underground movement with dangerous outcomes.,1999
8,The Matrix,A hacker learns reality is a simulation and fights back.,1999
9,Goodfellas,A young man rises through mob life and faces consequences.,1990
10,The Lord of the Rings The Fellowship of the Ring,A hobbit begins a perilous quest to destroy a ring.,2001
11,The Lord of the Rings The Two Towers,The fellowship is scattered as war spreads across the land.,2002
12,The Lord of the Rings The Return of the King,Allies make a final stand while the ring nears destruction.,2003
13,Interstellar,Explorers cross space to secure a future for humanity.,2014
14,Gladiator,A betrayed Roman general seeks justice in the arena.,2000
15,The Silence of the Lambs,An FBI trainee consults a brilliant imprisoned killer.,1991
16,Se7en,Two detectives track a killer inspired by deadly sins.,1995
17,Saving Private Ryan,Soldiers risk everything to rescue one missing paratrooper.,1998
18,The Green Mile,Prison guards encounter a death row inmate with rare gifts.,1999
19,Whiplash,A driven drummer faces a ruthless music instructor.,2014
20,Parasite,A struggling family infiltrates a wealthy household.,2019
21,The Departed,An undercover cop and a mole hunt each other.,2006
22,No Country for Old Men,A hunter finds cartel money and triggers a brutal chase.,2007
23,The Prestige,Rival magicians push obsession to dangerous extremes.,2006
24,Memento,A man with memory loss investigates his wife's murder.,2000
25,Django Unchained,A freed man and a bounty hunter pursue a rescue mission.,2012
26,The Social Network,A startup success story reveals ambition and betrayal.,2010
27,Mad Max Fury Road,Survivors flee a tyrant across a violent desert.,2015
28,Blade Runner 2049,A new blade runner uncovers a world changing secret.,2017
29,The Grand Budapest Hotel,A concierge and his protege become entangled in a mystery.,2014
30,The Lion King,A young lion fights to reclaim his homeland.,1994
31,Spirited Away,A girl enters a spirit world to save her parents.,2001
32,Toy Story,Toys discover friendship while facing change.,1995
33,Up,An elderly widower lifts his home for one last adventure.,2009
34,WALL-E,A lonely robot discovers love and a larger purpose.,2008
35,Coco,A boy explores the land of the dead to uncover family truth.,2017
36,The Incredibles,A retired hero family returns to stop a new threat.,2004
37,Shrek,An ogre and his companion rescue a princess.,2001
38,Finding Nemo,A clownfish crosses the ocean to find his son.,2003
39,Arrival,A linguist attempts to communicate with alien visitors.,2016
40,Her,A writer forms a deep bond with an AI assistant.,2013
41,La La Land,Two artists chase dreams while testing their relationship.,2016
42,The Truman Show,A man discovers his life is a constructed television show.,1998
43,Eternal Sunshine of the Spotless Mind,A couple erase memories but struggle to move on.,2004
44,The Wolf of Wall Street,A stockbroker rises fast and crashes hard.,2013
45,Alien,A spacecraft crew is hunted by a deadly organism.,1979
46,Jaws,A seaside town faces a relentless shark threat.,1975
